"Zotu100_P1_B06_71SHCON2_S508_N703" "Zotu101_P1_A03_38TCONS8_S503_N702" "Zotu101_P3_E01_83ACON5_S517_N710" "Zotu102_P1_H09_37TCONS7_S508_N705" "Zotu107_P1_D05_13SHC4C1_S505_N703" "Zotu107_P1_G02_20MMC2_S502_N702" "Zotu107_P1_H08_70SHCON1_S504_N705" "Zotu109_P1_A01_32TCONS2_S502_N701" "Zotu10_P3_E04_121ACON11_S505_N712" "Zotu110_P1_H06_36TCONS6_S503_N704" "Zotu111_P1_B06_71SHCON2_S508_N703" "Zotu112_P1_B06_71SHCON2_S508_N703" "Zotu116_P2_E03_72SHCON3_S505_N708" "Zotu118_P1_A01_32TCONS2_S502_N701" "Zotu119_P4_C10_106ACON19_S508_N707" "Zotu120_P3_G06_108ACON21_S506_N701" "Zotu121_P2_G01_87ACONS9_S505_N707" "Zotu122_P1_B08_17IZPOC2_S517_N704" "Zotu122_P3_H03G04_123ACON13_S506_N712" "Zotu123_P1_B08_17IZPOC2_S517_N704" "Zotu124_P1_H06_36TCONS6_S503_N704" "Zotu126_P2_G01_87ACONS9_S505_N707" "Zotu129_P1_D07_35TCONS5_S506_N704" "Zotu131_P1_D06_74SHCON5_S517_N703" "Zotu132_P1_H09_37TCONS7_S508_N705" "Zotu133_P1_A01_32TCONS2_S502_N701" "Zotu134_P2_E03_72SHCON3_S505_N708" "Zotu137_P1_B06_71SHCON2_S508_N703" "Zotu137_P3_E04_121ACON11_S505_N712" "Zotu139_P1_B06_71SHCON2_S508_N703" "Zotu139_P1_F11_78SHCON9_S508_N706" "Zotu141_P3_A06_128ACON18_S503_N701" "Zotu146_P1_H08_70SHCON1_S504_N705" "Zotu147_P3_A05_107ACON20_S507_N712" "Zotu150_P3_A07_81ACON3_S507_N701" "Zotu150_P4_E06_120ACON10_S508_N705" "Zotu154_P1_D06_74SHCON5_S517_N703" "Zotu159_P3_A05_107ACON20_S507_N712" "Zotu15_P1_E02_21MMC3_S517_N701" "Zotu162_P3_A06_128ACON18_S503_N701" "Zotu166_P1_A01_32TCONS2_S502_N701" "Zotu166_P3_A02_39TCONSER9_S503_N711" "Zotu177_P1_D07_35TCONS5_S506_N704" "Zotu177_P2_G02_14SHCN5C2_S517_N707" "Zotu181_P1_H09_37TCONS7_S508_N705" "Zotu181_P3_G03_126ACON16_S502_N712" "Zotu182_P1_D08_34TCONS4_S502_N705" "Zotu199_P1_H01_75SHCON6_S506_N701" "Zotu205_P1_D05_13SHC4C1_S505_N703" "Zotu208_P2_E03_72SHCON3_S505_N708" "Zotu218_P1_B06_71SHCON2_S508_N703" "Zotu221_P1_B06_71SHCON2_S508_N703" "Zotu221_P1_B08_17IZPOC2_S517_N704" "Zotu228_P1_D05_13SHC4C1_S505_N703" "Zotu22_P3_E01_83ACON5_S517_N710" "Zotu236_P1_D05_13SHC4C1_S505_N703" "Zotu260_P3_G02_82ACON4_S506_N711" "Zotu281_P3_C05_110ACON23_S508_N712" "Zotu306_P3_G06_108ACON21_S506_N701" "Zotu316_P3_A05_107ACON20_S507_N712" "Zotu346_P3_G06_108ACON21_S506_N701" "Zotu37_P2_G01_87ACONS9_S505_N707" "Zotu416_P3_G06_108ACON21_S506_N701" "Zotu4_P3_G05_109ACON22_S502_N701" "Zotu52_P2_E02_77SHCON8_S508_N707" "Zotu56_P4_E03_122ACON12_S504_N704" "Zotu60_P2_A02_76SHCON7_S506_N707" "Zotu66_P3_A05_107ACON20_S507_N712" "Zotu70_P4_E03_122ACON12_S504_N704" "Zotu71_P2_A02_76SHCON7_S506_N707" "Zotu76_P2_A02_76SHCON7_S506_N707" "Zotu7_P1_B08_17IZPOC2_S517_N704" "Zotu81_P1_A03_38TCONS8_S503_N702" "Zotu88_P2_A02_76SHCON7_S506_N707" "Zotu92_P3_C03_125ACON15_S508_N711" "Zotu93_P1_D07_35TCONS5_S506_N704" "Zotu99_P1_A03_38TCONS8_S503_N702"
"CON_NTO_AAB_125ACON15" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"CON_NTO_AAB_126ACON16" 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_AAB_127ACON17" 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_AAB_128ACON18" 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_ASB_79ACON1" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_ASB_80ACON2" 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_ASB_81ACON3" 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_ASB_82ACON4" 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_ASB_83ACON5" 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_ASB_84ACON6" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_ASB_85ACON7" 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_ASB_86ACON8" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"CON_NTO_ASB_87ACON9" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_SJH_70SHCON1" 1 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_SJH_71SHCON2" 1 0 1 0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_SJH_72SHCON3" 1 0 1 0 0 0 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_SJH_73SHCON4" 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_SJH_74SHCON5" 0 0 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_SJH_75SHCON6" 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_SJH_76SHCON7" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0
"CON_NTO_SJH_77SHCON8" 1 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
"CON_NTO_SJH_78SHCON9" 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_TLC_31TCONS1" 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_TLC_32TCONS2" 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_TLC_33TCONS3" 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"CON_NTO_TLC_34TCONS4" 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
"CON_NTO_TLC_35TCONS5" 0 0 1 0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 1 0 1 1 0 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
"CON_NTO_TLC_36TCONS6" 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 0 0 1 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1
"CON_NTO_TLC_37TCONS7" 1 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
"CON_NTO_TLC_38TCONS8" 1 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1
"CON_NTO_TLC_39TCONS9" 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1
