"Zotu102_P2_G01_87ACONS9_S505_N707" "Zotu102_P3_C06_84ACON6_S504_N701" "Zotu103_P1_B06_71SHCON2_S508_N703" "Zotu106_P2_G01_87ACONS9_S505_N707" "Zotu107_P3_A06_128ACON18_S503_N701" "Zotu109_P3_C03_125ACON15_S508_N711" "Zotu10_P3_A06_128ACON18_S503_N701" "Zotu110_P2_G01_87ACONS9_S505_N707" "Zotu113_P1_H04_19MMC1_S503_N703" "Zotu113_P3_C05_110ACON23_S508_N712" "Zotu116_P2_G01_87ACONS9_S505_N707" "Zotu117_P1_B06_71SHCON2_S508_N703" "Zotu118_P1_H04_19MMC1_S503_N703" "Zotu120_P3_A05_107ACON20_S507_N712" "Zotu122_P1_A01_32TCONS2_S502_N701" "Zotu125_P1_H04_19MMC1_S503_N703" "Zotu125_P3_A06_128ACON18_S503_N701" "Zotu137_P3_A07_81ACON3_S507_N701" "Zotu139_P2_G02_14SHCN5C2_S517_N707" "Zotu13_P3_A06_128ACON18_S503_N701" "Zotu13_P4_E06_120ACON10_S508_N705" "Zotu141_P3_A05_107ACON20_S507_N712" "Zotu141_P3_E04_121ACON11_S505_N712" "Zotu152_P3_A01_85ACON7_S507_N710" "Zotu156_P1_D05_13SHC4C1_S505_N703" "Zotu157_P1_A01_32TCONS2_S502_N701" "Zotu158_P3_A05_107ACON20_S507_N712" "Zotu163_P1_B06_71SHCON2_S508_N703" "Zotu163_P3_A06_128ACON18_S503_N701" "Zotu168_P3_A06_128ACON18_S503_N701" "Zotu171_P3_A05_107ACON20_S507_N712" "Zotu171_P3_A07_81ACON3_S507_N701" "Zotu173_P1_E02_21MMC3_S517_N701" "Zotu177_P1_G02_20MMC2_S502_N702" "Zotu17_P4_E03_122ACON12_S504_N704" "Zotu17_P4_E06_120ACON10_S508_N705" "Zotu181_P3_G06_108ACON21_S506_N701" "Zotu182_P3_A05_107ACON20_S507_N712" "Zotu186_P1_D07_35TCONS5_S506_N704" "Zotu18_P3_A06_128ACON18_S503_N701" "Zotu193_P1_B06_71SHCON2_S508_N703" "Zotu19_P3_A06_128ACON18_S503_N701" "Zotu1_P3_A05_107ACON20_S507_N712" "Zotu202_P3_A01_85ACON7_S507_N710" "Zotu206_P3_A01_85ACON7_S507_N710" "Zotu20_P3_H03G04_123ACON13_S506_N712" "Zotu21_P1_E02_21MMC3_S517_N701" "Zotu21_P3_C05_110ACON23_S508_N712" "Zotu22_P3_A01_85ACON7_S507_N710" "Zotu230_P3_A05_107ACON20_S507_N712" "Zotu23_P4_E06_120ACON10_S508_N705" "Zotu26_P3_A01_85ACON7_S507_N710" "Zotu27_P3_E06_80ACON2_S505_N701" "Zotu28_P1_E02_21MMC3_S517_N701" "Zotu28_P4_E06_120ACON10_S508_N705" "Zotu29_P3_C05_110ACON23_S508_N712" "Zotu300_P3_A05_107ACON20_S507_N712" "Zotu30_P3_E06_80ACON2_S505_N701" "Zotu31_P4_E03_122ACON12_S504_N704" "Zotu33_P1_A01_32TCONS2_S502_N701" "Zotu348_P3_A05_107ACON20_S507_N712" "Zotu34_P1_B08_17IZPOC2_S517_N704" "Zotu34_P3_A01_85ACON7_S507_N710" "Zotu34_P3_E03_86ACON8_S517_N711" "Zotu35_P2_G01_87ACONS9_S505_N707" "Zotu35_P3_A06_128ACON18_S503_N701" "Zotu35_P3_C05_110ACON23_S508_N712" "Zotu36_P3_A06_128ACON18_S503_N701" "Zotu37_P1_B08_17IZPOC2_S517_N704" "Zotu37_P3_C03_125ACON15_S508_N711" "Zotu37_P3_G03_126ACON16_S502_N712" "Zotu41_P3_A07_81ACON3_S507_N701" "Zotu41_P3_E03_86ACON8_S517_N711" "Zotu41_P3_E06_80ACON2_S505_N701" "Zotu42_P1_D06_74SHCON5_S517_N703" "Zotu42_P2_G01_87ACONS9_S505_N707" "Zotu45_P3_E03_86ACON8_S517_N711" "Zotu46_P3_A06_128ACON18_S503_N701" "Zotu4_P1_A01_32TCONS2_S502_N701" "Zotu50_P3_C04_79ACON1_S504_N712" "Zotu51_P1_H04_19MMC1_S503_N703" "Zotu51_P3_C03_125ACON15_S508_N711" "Zotu54_P1_B06_71SHCON2_S508_N703" "Zotu57_P1_B08_17IZPOC2_S517_N704" "Zotu57_P1_H04_19MMC1_S503_N703" "Zotu57_P3_A01_85ACON7_S507_N710" "Zotu57_P3_A06_128ACON18_S503_N701" "Zotu58_P3_C03_125ACON15_S508_N711" "Zotu59_P1_H08_70SHCON1_S504_N705" "Zotu59_P3_A01_85ACON7_S507_N710" "Zotu5_P1_A01_32TCONS2_S502_N701" "Zotu5_P4_E03_122ACON12_S504_N704" "Zotu60_P1_D06_74SHCON5_S517_N703" "Zotu60_P3_A01_85ACON7_S507_N710" "Zotu60_P3_C04_79ACON1_S504_N712" "Zotu65_P3_C04_79ACON1_S504_N712" "Zotu65_P4_C10_106ACON19_S508_N707" "Zotu67_P1_F11_78SHCON9_S508_N706" "Zotu67_P2_G01_87ACONS9_S505_N707" "Zotu68_P2_G01_87ACONS9_S505_N707" "Zotu68_P3_A07_81ACON3_S507_N701" "Zotu69_P3_A07_81ACON3_S507_N701" "Zotu71_P3_C04_79ACON1_S504_N712" "Zotu71_P3_E06_80ACON2_S505_N701" "Zotu72_P3_A06_128ACON18_S503_N701" "Zotu73_P1_B06_71SHCON2_S508_N703" "Zotu74_P1_A01_32TCONS2_S502_N701" "Zotu74_P1_A03_38TCONS8_S503_N702" "Zotu76_P2_G01_87ACONS9_S505_N707" "Zotu76_P3_C03_125ACON15_S508_N711" "Zotu78_P2_G01_87ACONS9_S505_N707" "Zotu78_P3_A01_85ACON7_S507_N710" "Zotu78_P4_C10_106ACON19_S508_N707" "Zotu79_P1_G02_20MMC2_S502_N702" "Zotu80_P1_H04_19MMC1_S503_N703" "Zotu83_P1_D06_74SHCON5_S517_N703" "Zotu85_P2_G01_87ACONS9_S505_N707" "Zotu86_P1_D05_13SHC4C1_S505_N703" "Zotu87_P1_H01_75SHCON6_S506_N701" "Zotu8_P3_A01_85ACON7_S507_N710" "Zotu90_P2_G01_87ACONS9_S505_N707" "Zotu92_P2_G01_87ACONS9_S505_N707" "Zotu93_P3_C03_125ACON15_S508_N711" "Zotu94_P3_E01_83ACON5_S517_N710" "Zotu95_P1_D05_13SHC4C1_S505_N703" "Zotu98_P2_G01_87ACONS9_S505_N707" "Zotu98_P3_G03_126ACON16_S502_N712"
"CON_NTO_AAB_W_125ACON15" 1 0 0 0 0 1 0 0 1 0 1 0 1 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 1 0 1 1 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0
"CON_NTO_AAB_W_126ACON16" 1 0 0 1 0 1 0 1 1 0 1 1 1 0 0 1 1 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 1 1 0 0 1 1 1 0 1 1 1 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 1 0 1 0 1 1 0 0 1 0 1 1 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 1 0 0 0 1
"CON_NTO_AAB_W_127ACON17" 1 0 0 0 0 1 1 0 1 0 1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 1 1 1 1 0 0 0 0 1 0 1 1 0 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0
"CON_NTO_AAB_W_128ACON18" 1 0 0 0 1 0 1 0 1 0 1 1 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 1 0 1 1 0 1 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0
"CON_NTO_ASB_W_79ACON1" 0 0 0 1 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 0 1 1 1 0 0 1 0 1 1 1 0 0 0 0 0 1 0 1 1 0 1 1 0 1 0 1 1 0 1 0 0 0 0 0
"CON_NTO_ASB_W_80ACON2" 0 1 0 1 1 0 0 1 0 0 1 0 1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 1 0 0 1 1 1 0 1 0 1 0 0 0 1 1 0 0 1 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 0 1 0 1 0 0 0
"CON_NTO_ASB_W_81ACON3" 1 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 1 0 1 0 1 0 1 0 0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0 0 1 0 0 1 0 1 0 1 1 0 1 0 0 0 0 0
"CON_NTO_ASB_W_82ACON4" 0 1 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1 1 1 0 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 1 1 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 1 1 1 0 1 0 1 1
"CON_NTO_ASB_W_83ACON5" 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0
"CON_NTO_ASB_W_84ACON6" 0 1 1 1 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 1 1 0 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 1 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0
"CON_NTO_ASB_W_85ACON7" 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 1 1 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 1 1 0 0 1 0 1 1
"CON_NTO_ASB_W_86ACON8" 1 1 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1
"CON_NTO_ASB_W_87ACON9" 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 1 1 0
