"h_names_Site0.03" "h_ocurrence_Site0.03"
"1" "Zotu100_P2_G01_87ACONS9_S505_N707" "17"
"2" "Zotu103_P2_C01_18IZTAC3_S503_N707" "16"
"3" "Zotu103_P3_A07_81ACON3_S507_N701" "1"
"4" "Zotu104_P1_B08_17IZPOC2_S517_N704" "2"
"5" "Zotu106_P1_A01_32TCONS2_S502_N701" "2"
"6" "Zotu107_P2_C01_18IZTAC3_S503_N707" "5"
"7" "Zotu107_P2_E01_31TCONS1_S504_N707" "4"
"8" "Zotu107_P3_E01_83ACON5_S517_N710" "27"
"9" "Zotu109_P1_E02_21MMC3_S517_N701" "2"
"10" "Zotu109_P3_G02_82ACON4_S506_N711" "1"
"11" "Zotu110_P1_A03_38TCONS8_S503_N702" "1"
"12" "Zotu110_P3_C06_84ACON6_S504_N701" "1"
"13" "Zotu110_P3_E01_83ACON5_S517_N710" "9"
"14" "Zotu113_P2_E01_31TCONS1_S504_N707" "3"
"15" "Zotu114_P1_G02_20MMC2_S502_N702" "4"
"16" "Zotu115_P3_A01_85ACON7_S507_N710" "17"
"17" "Zotu11_P3_A01_85ACON7_S507_N710" "1"
"18" "Zotu120_P3_E01_83ACON5_S517_N710" "2"
"19" "Zotu121_P3_A01_85ACON7_S507_N710" "1"
"20" "Zotu121_P4_C10_106ACON19_S508_N707" "1"
"21" "Zotu121_P4_E06_120ACON10_S508_N705" "3"
"22" "Zotu124_P3_A07_81ACON3_S507_N701" "2"
"23" "Zotu125_P2_E01_31TCONS1_S504_N707" "30"
"24" "Zotu126_P4_C10_106ACON19_S508_N707" "19"
"25" "Zotu127_P1_D07_35TCONS5_S506_N704" "1"
"26" "Zotu12_P1_B08_17IZPOC2_S517_N704" "1"
"27" "Zotu12_P3_A01_85ACON7_S507_N710" "2"
"28" "Zotu131_P2_E02_77SHCON8_S508_N707" "5"
"29" "Zotu133_P3_G05_109ACON22_S502_N701" "1"
"30" "Zotu135_P3_E01_83ACON5_S517_N710" "6"
"31" "Zotu137_P3_G02_82ACON4_S506_N711" "2"
"32" "Zotu13_P3_A07_81ACON3_S507_N701" "1"
"33" "Zotu141_P1_H06_36TCONS6_S503_N704" "4"
"34" "Zotu145_P2_E03_72SHCON3_S505_N708" "3"
"35" "Zotu146_P3_A01_85ACON7_S507_N710" "9"
"36" "Zotu146_P4_E06_120ACON10_S508_N705" "2"
"37" "Zotu152_P1_F11_78SHCON9_S508_N706" "2"
"38" "Zotu153_P1_D05_13SHC4C1_S505_N703" "1"
"39" "Zotu154_P3_A02_39TCONSER9_S503_N711" "1"
"40" "Zotu154_P3_E04_121ACON11_S505_N712" "4"
"41" "Zotu157_P1_H06_36TCONS6_S503_N704" "1"
"42" "Zotu157_P3_A02_39TCONSER9_S503_N711" "1"
"43" "Zotu158_P1_A01_32TCONS2_S502_N701" "2"
"44" "Zotu176_P1_G03_33TCONS3_S506_N702" "3"
"45" "Zotu17_P3_G08_127ACON17_S506_N702" "1"
"46" "Zotu180_P1_A03_38TCONS8_S503_N702" "1"
"47" "Zotu185_P1_D07_35TCONS5_S506_N704" "9"
"48" "Zotu190_P1_H01_75SHCON6_S506_N701" "3"
"49" "Zotu19_P3_A01_85ACON7_S507_N710" "1"
"50" "Zotu201_P3_A02_39TCONSER9_S503_N711" "1"
"51" "Zotu202_P3_A02_39TCONSER9_S503_N711" "4"
"52" "Zotu204_P3_A02_39TCONSER9_S503_N711" "2"
"53" "Zotu206_P3_A02_39TCONSER9_S503_N711" "7"
"54" "Zotu208_P1_G03_33TCONS3_S506_N702" "1"
"55" "Zotu208_P2_E02_77SHCON8_S508_N707" "2"
"56" "Zotu215_P3_C05_110ACON23_S508_N712" "1"
"57" "Zotu218_P3_A02_39TCONSER9_S503_N711" "1"
"58" "Zotu219_P3_C05_110ACON23_S508_N712" "3"
"59" "Zotu21_P3_E03_86ACON8_S517_N711" "4"
"60" "Zotu263_P3_C05_110ACON23_S508_N712" "6"
"61" "Zotu269_P3_C05_110ACON23_S508_N712" "3"
"62" "Zotu26_P3_E04_121ACON11_S505_N712" "1"
"63" "Zotu293_P3_C05_110ACON23_S508_N712" "1"
"64" "Zotu35_P3_E03_86ACON8_S517_N711" "1"
"65" "Zotu36_P3_E04_121ACON11_S505_N712" "1"
"66" "Zotu38_P3_A07_81ACON3_S507_N701" "1"
"67" "Zotu38_P3_E01_83ACON5_S517_N710" "2"
"68" "Zotu41_P2_E02_77SHCON8_S508_N707" "1"
"69" "Zotu62_P4_E03_122ACON12_S504_N704" "1"
"70" "Zotu63_P3_A02_39TCONSER9_S503_N711" "1"
"71" "Zotu63_P3_E04_121ACON11_S505_N712" "2"
"72" "Zotu63_P3_G06_108ACON21_S506_N701" "2"
"73" "Zotu65_P3_A07_81ACON3_S507_N701" "1"
"74" "Zotu65_P3_E01_83ACON5_S517_N710" "2"
"75" "Zotu69_P3_E03_86ACON8_S517_N711" "1"
"76" "Zotu71_P3_E04_121ACON11_S505_N712" "1"
"77" "Zotu76_P3_E04_121ACON11_S505_N712" "1"
"78" "Zotu7_P1_D07_35TCONS5_S506_N704" "1"
"79" "Zotu81_P1_H01_75SHCON6_S506_N701" "2"
"80" "Zotu82_P3_A02_39TCONSER9_S503_N711" "1"
"81" "Zotu85_P3_A07_81ACON3_S507_N701" "1"
"82" "Zotu8_P1_B06_71SHCON2_S508_N703" "1"
"83" "Zotu9_P1_G02_20MMC2_S502_N702" "14"
