"h_names_Site0.03" "h_ocurrence_Site0.03"
"1" "Zotu100_P1_D08_34TCONS4_S502_N705" "40"
"2" "Zotu101_P1_B06_71SHCON2_S508_N703" "7"
"3" "Zotu101_P1_D05_13SHC4C1_S505_N703" "3"
"4" "Zotu103_P1_D05_13SHC4C1_S505_N703" "2"
"5" "Zotu103_P1_D07_35TCONS5_S506_N704" "42"
"6" "Zotu103_P2_G01_87ACONS9_S505_N707" "38"
"7" "Zotu105_P3_A05_107ACON20_S507_N712" "27"
"8" "Zotu107_P1_A01_32TCONS2_S502_N701" "40"
"9" "Zotu108_P3_A01_85ACON7_S507_N710" "5"
"10" "Zotu109_P1_B08_17IZPOC2_S517_N704" "13"
"11" "Zotu10_P1_B06_71SHCON2_S508_N703" "26"
"12" "Zotu10_P1_F05_15SHC6C3_S506_N703" "16"
"13" "Zotu112_P1_E02_21MMC3_S517_N701" "7"
"14" "Zotu112_P2_G02_14SHCN5C2_S517_N707" "39"
"15" "Zotu113_P1_E02_21MMC3_S517_N701" "25"
"16" "Zotu113_P3_C04_79ACON1_S504_N712" "20"
"17" "Zotu115_P1_H06_36TCONS6_S503_N704" "10"
"18" "Zotu117_P1_G03_33TCONS3_S506_N702" "30"
"19" "Zotu11_P1_B06_71SHCON2_S508_N703" "19"
"20" "Zotu120_P1_G02_20MMC2_S502_N702" "6"
"21" "Zotu120_P2_G01_87ACONS9_S505_N707" "19"
"22" "Zotu122_P1_A03_38TCONS8_S503_N702" "27"
"23" "Zotu124_P3_C05_110ACON23_S508_N712" "24"
"24" "Zotu12_P4_C10_106ACON19_S508_N707" "7"
"25" "Zotu138_P1_D07_35TCONS5_S506_N704" "5"
"26" "Zotu13_P2_E02_77SHCON8_S508_N707" "2"
"27" "Zotu13_P3_C04_79ACON1_S504_N712" "1"
"28" "Zotu13_P3_C06_84ACON6_S504_N701" "3"
"29" "Zotu13_P3_E01_83ACON5_S517_N710" "2"
"30" "Zotu142_P1_F11_78SHCON9_S508_N706" "21"
"31" "Zotu142_P3_A05_107ACON20_S507_N712" "4"
"32" "Zotu144_P1_A03_38TCONS8_S503_N702" "1"
